"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
cool hostess gifts,很酷的女主人礼物,,,自然搜索词,148 ,1 ,B0C27FG8L9,"215,607","5,385 ",39 ,0.73%,"157,083 ","2,645 ",1 ,0 ,"4,052 ",1.3 ,35 ,10.5%,9.5%,$1.36,$0.86 - $1.50,B07JN5467R,4.0%,0.0%,1452164894,3.3%,4.8%,B00IULFU4C,3.3%,4.8%,"B075P7R3VN,B07VLBVQBP,B00IULFU4C,B0BBVXRZ3F,1452164894,B07JN5467R,B0CNQYPM4L,B07TYM4LMX,B0009F3R7E,B00NOPV4JO"
adult woman christmas gifts,成年女性圣诞礼物,,,自然搜索词,146 ,1 ,B0CDRDK6MR,"544,546",140 ,4 ,2.91%,"3,228 ",66 ,1 ,0 ,"119,489 ",0.0 ,2 ,14.3%,7.3%,$0.99,$0.75 - $1.42,B0BB4JLLR7,5.8%,2.4%,B0BQ2TZ1NV,4.6%,2.4%,B0DCNDVTD1,3.9%,2.4%,"B0BX92ZT75,B08HVKZX17,B0BQ2TZ1NV,B09RN1ZH6L,B0BFHXRG1F,B08GC1G4Y9,B07L5QGF38,B0CC2K9HSG,B06XH2ZDTM,B0D72CZBSN"
$50 gifts,50 美元的礼物,,,自然搜索词/SP广告词,140 ,1 ,B0CDRDK6MR,"153,195","9,814 ",649 ,6.62%,"258,098 ","4,195 ",15 ,0 ,"192,941 ",0.1 ,62 ,19.1%,12.4%,,-,B01FHOWYA2,9.9%,12.4%,B07BB5FDS2,5.7%,0.0%,B01DCIKFNI,3.5%,0.0%,"B01N5TMK8I,B0BYTZ9Q6D,B0771S9XT8,B07SG4VBTY,B07BB5FDS2,B09XB3CMC6,B0C395VXJB,B09RN1ZH6L,B07G142F9Z,B0CJ7CXBT7"
crochet gifts,钩针礼物,,,SP广告词,140 ,1 ,B0C2771TLS,"51,637","23,589 ",459 ,1.95%,"594,239 ","10,882 ",11 ,3 ,"27,919 ",0.8 ,113 ,17.0%,15.9%,$0.92,$0.68 - $1.14,1944515631,7.5%,7.2%,B0D2P3NV4P,5.7%,5.3%,B08TYTQV1Y,3.8%,3.4%,"B08YS42GPG,B088STRDGZ,1620331292,B0B5RBBGC9,B0C3GJ61ZJ,B0CQPLJDX8,B0CDPKVD4P,B0CYN57Z3T,B08TYTQV1Y,B07BLS3RBR"
best christmas gifts for mom,给妈妈最好的圣诞礼物,,,自然搜索词,139 ,2 ,B0CDRDK6MR/B0CGZS5129,"689,850","1,454 ",66 ,4.54%,"38,602 ",587 ,2 ,0 ,"176,549 ",0.0 ,34 ,12.6%,5.9%,$2.60,$1.96 - $3.25,B0DFGGMYR7,5.3%,0.0%,B0C1NJSCRD,4.2%,5.9%,B0CMT9CHVS,3.2%,0.0%,"B089D3Q24T,B07S651GSW,B07SM61FCT,B09Y8SV5RY,B09RN1ZH6L,B07NZT2SCN,B014E2D6BY,B0CH8LYF42,B07KWHTH81,B0BJYCRS51"
wickless candles,无芯蜡烛,,,SP广告词,139 ,2 ,B0CGZS5129/B0CDRDK6MR,"668,147","2,341 ",202 ,8.64%,"54,736 ","1,148 ",5 ,2 ,650 ,3.6 ,224 ,26.3%,0.0%,$1.50,$1.02 - $1.66,B086BKDDMN,13.1%,0.0%,B0B8331GV5,8.1%,0.0%,B000KOHG9Y,5.1%,0.0%,"B07D26KQZ7,B075SSW3Q7,B0CRZ1D6K5,B0B8331GV5,B0B94QCVR1,B0BXCXJNFW,B0BYZ2JHYW,B082HCLN9D,B01EDKGFGU,B096Z14WVC"
plug in wax melt warmer,插入蜡熔化加热器,,,HR推荐词,138 ,1 ,B0CDRDK6MR,"86,233","22,633 ",595 ,2.63%,"460,178 ","8,762 ",14 ,10 ,725 ,31.2 ,79 ,19.1%,6.9%,$0.76,$0.60 - $0.88,B097K294LR,7.1%,3.5%,B07GS3BMK7,6.7%,1.4%,B08KZMRCFH,5.3%,2.1%,"B097K294LR,B07YY8XQ3Q,B0036FQDA2,B0C5D6HMPM,B0BNP73PGX,B0BZTXVB8Q,B0CCRVRZXM,B07GS3BMK7,B08KZMRCFH,B0B1JMX73T"
something for mom,给妈妈的东西,,,自然搜索词,138 ,1 ,B0C27FG8L9,"717,569",,,,,,1 ,0 ,"20,527 ",0.0 ,3 ,16.3%,0.0%,$1.53,$1.07 - $1.83,B0CL8KH73G,6.5%,0.0%,B0DCNZGY4X,5.4%,0.0%,B0C1NJSCRD,4.4%,0.0%,"B0953MZ7X4,B0C9V2XGSZ,B09DPXQ7R7,B08T68KVM8,B0CHF4GWZQ,B07G142F9Z,B0BGLS7SK1,B07HL498WV,B09CGTLBVJ,B07WLXXDQ4"
timer,定时器,,,自然搜索词,138 ,1 ,B0CTJGJL2T,"7,014","160,612 ","8,062 ",5.02%,"3,845,878 ","65,784 ",183 ,78 ,"121,613 ",1.3 ,228 ,33.0%,19.8%,$1.48,$1.11 - $1.85,B0DJ4LNBFT,13.5%,0.0%,B07RPT4LFN,9.9%,10.6%,B07D3BFY6R,9.6%,9.3%,"B01LPSGBZS,B0DND5HNNH,B01D1DKPN4,B079N9FW5B,B0DLVB7DMY,B08GQGM6CR,B092YWQCX5,B0DND5LYJX,B0001MRY7E,B0DND2ZM8Q"
new year gifts,新年礼物,,,SP广告词,135 ,1 ,B0CDRDK6MR,"53,458",663 ,23 ,3.61%,"14,859 ",258 ,1 ,2 ,"116,777 ",0.0 ,47 ,18.5%,16.0%,$3.05,$2.29 - $3.82,B076ZRC5ZV,9.8%,9.2%,1641522410,4.4%,4.6%,B0081BE3E4,4.3%,2.3%,"B00FBGKCHE,B09Y8SV5RY,B08199W8C1,B004EDWMBO,B07JH8L9JC,B0CHSKF7ZR,B07CHSN691,B096XS6NFF,B0CM7BN919,B01DTFF0Y8"
antique desk lamp,古董台灯,,,自然搜索词/SP广告词,135 ,1 ,B0CGZS5129,"689,511","1,336 ",9 ,0.71%,"39,539 ",573 ,1 ,2 ,"2,963 ",0.5 ,68 ,19.0%,0.0%,$2.09,$1.66 - $2.58,B0CGZS5129,7.4%,0.0%,B09FZ4DHMP,6.3%,0.0%,B07P1DWX9Q,5.3%,0.0%,"B07P1DWX9Q,B09G4YD47F,B09FZ4DHMP,B0BCHTSLK4,B0D3Z6QVVN,B093LCYS9L,B0876YQRKD,B076PJXKPP,B09ZTV67FG,B08SCDJH82"
room decir,房间决定,,,视频广告词,134 ,2 ,B0CDRDK6MR/B0C27FG8L9,"136,134","8,988 ",103 ,1.15%,"239,711 ","4,266 ",3 ,0 ,"169,749 ",0.1 ,39 ,15.8%,6.3%,$0.43,$0.31 - $0.51,B09ZXJDSL5,6.9%,6.3%,B0BG46KCCH,5.0%,0.0%,B0925LXDSG,3.8%,0.0%,"B0D4DJ6BRR,B09FK1GSXY,B099ZRCGWW,B0BPLB81LX,B0BY8Z72BJ,B0BQHV84H6,B09Y8SV5RY,B0932M1666,B0D6W3K8C9,B0CYLKRRQX"
room light,房间光线,,,SP广告词,133 ,1 ,B0CDRDK6MR,"55,526","23,685 ",232 ,0.98%,"643,162 ","11,667 ",6 ,5 ,"103,160 ",0.2 ,124 ,16.8%,18.1%,$1.00,$0.81 - $1.13,B09TTLKHRK,6.3%,5.2%,B0CTH967JR,5.3%,6.9%,B0CQSJRPXF,5.1%,6.0%,"B099WTN2TR,B09TTLKHRK,B0D4DJ6BRR,B0BXWQHYVQ,B07Z5NQPDS,B0BPLWBPM6,B08Z36X6B4,B099ZRCGWW,B0932M1666,B0CQY5RK52"
trademark candle warmer lamp,,,,自然搜索词/视频广告词,133 ,7 ,B0C2771TLS/B0DDX8MYKQ/B0CXJ9338V/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR,"940,250",,,,,,,,538 ,,5 ,,,,-,B0BWJRJYS7,18.6%,0.0%,B0DGKDVLGS,11.4%,0.0%,B09NQ4NRZ2,7.1%,0.0%,
decor table,装饰桌,,,自然搜索词,132 ,2 ,B0CDRDK6MR/B0CGZS5129,"828,132","1,681 ",44 ,2.63%,"47,696 ",646 ,1 ,0 ,"120,346 ",0.0 ,75 ,16.5%,0.0%,$0.80,$0.61 - $1.03,B0989DQJ9L,7.6%,0.0%,B0CLRQ1BSG,5.1%,0.0%,B09NL1RH4D,3.8%,0.0%,"B0B27WGC8Q,B0CJJ229ZX,B09PRGS957,B0CLRQ1BSG,B0B2P4P2R4,B0BJNZV8LM,B01IMYIY2Q,B0C7KRC7CS,B0BHNWHDMB,B0CCDDDK3H"
cozy living room decor,舒适的客厅装饰,,,视频广告词,132 ,3 ,B0CDRDK6MR/B0C27FG8L9/B0CGZS5129,"495,202","2,388 ",70 ,2.94%,"67,077 ","1,080 ",2 ,0 ,"51,600 ",0.1 ,18 ,18.1%,0.0%,$0.50,$0.40 - $0.66,B0BXCYHTGN,6.0%,0.0%,B0C2PS76FG,6.0%,0.0%,B0C4DGFFCM,6.0%,0.0%,"B0852WLH7M,B0C6JX429G,B0BPLB81LX,B0CJ9D6RT2,B0CJ9DSPMB,B0C4DGFFCM,B074KFP426,B003VP5TPW,B0BXCYHTGN,B09Z2SYJQD"
christmas grab gifts for adults,成人的圣诞抢购礼物,,,自然搜索词/SP广告词,132 ,1 ,B0CDRDK6MR,"586,734",,,,,,1 ,0 ,"21,036 ",0.0 ,13 ,16.1%,13.2%,,-,B0BRKPVZB4,5.6%,10.5%,B07DFRRCRP,5.6%,2.6%,B07YLFT546,4.9%,0.0%,"B07DFRRCRP,B08JHV66N1,B0D66QBHY4,B0CBFMLPPB,B01D2QH5QU,B00PY05VMS,B004EDWMBO,B08HFLNS6T,B011TNZKOC,B001JSX7KW"
wax warmer light,蜡暖灯,,,自然搜索词,132 ,10 ,B0CFLRBTYN/B0DDX8MYKQ/B0CXJ9338V/B0CQQLYD3W/B0CTJGJL2T/B0CDRDK6MR/B0CZ9F35PT/B0C2771TLS/B0C27FG8L9/B0CGZS5129,"927,935","1,252 ",34 ,2.75%,"37,262 ",524 ,1 ,1 ,"2,719 ",0.5 ,5 ,23.9%,12.5%,$0.91,$0.68 - $1.13,B0CDRDK6MR,11.3%,0.0%,B08T21FGQ8,7.0%,0.0%,B07GFRLJ9C,5.6%,12.5%,"B0BWJRJYS7,B0CTJGJL2T,B0CQQLYD3W,B093W2Q654,B07GFRLJ9C,B0CXJ9338V,B0CDRDK6MR,B0CYLMZYD6,B0BZ7ZDVRW,B0CHN15LWF"
mom gofts,妈妈,,,自然搜索词,131 ,2 ,B0C2771TLS/B0C27FG8L9,"227,429","5,352 ",293 ,5.48%,"107,712 ","2,423 ",7 ,0 ,"163,825 ",0.0 ,11 ,13.1%,6.6%,$0.87,$0.66 - $1.10,1081439793,4.8%,1.6%,B09B2SBHQK,4.2%,3.3%,B091Q17CGW,4.2%,1.6%,"1081439793,B089D3Q24T,B0C6DH1TKC,B07SM61FCT,B0BR41SJYD,B0CH8LYF42,B0CYM8D2DK,B0BMQBTC26,B07GBFT6Z3,B0D22HLXWG"
silver bedroom decor,银色卧室装饰,,,自然搜索词/SP广告词,131 ,1 ,B0CGZS5129,"702,024","1,862 ",8 ,0.43%,"44,976 ",796 ,1 ,1 ,"31,971 ",0.1 ,59 ,26.6%,0.0%,$0.60,$0.36 - $0.75,B0BLXFT72M,10.6%,0.0%,B09B4R1P76,9.6%,0.0%,B09W9P69S8,6.4%,0.0%,"B0BBQNXYX3,B071WRY7HL,B0BLXFT72M,B0BXCKLRCQ,B09B4R1P76,B0BHQNP858,B09W9P69S8,B09464Y4LD,B0BPL9MZFP,B07X591R1V"
hand warmers for men,男士暖手器,,,SP广告词,129 ,1 ,B0C2771TLS,"56,078","32,974 ","5,899 ",17.89%,"808,961 ","14,000 ",134 ,1 ,"3,861 ",8.5 ,104 ,32.2%,29.2%,$2.20,$1.49 - $2.73,B00D7H9LIA,13.4%,14.7%,B0007ZF4OA,11.6%,7.9%,B0CG65PYBV,7.2%,6.6%,"B0CG65PYBV,B0007ZF4OA,B004R1J464,B0D76YGKPF,B072M25LW9,B083KGS251,B0DF7SG54M,B0CFQYP7GX,B0CCXLWWT2,B0DGSGZT24"
gifts for your mom,给你妈妈的礼物,,,自然搜索词,129 ,3 ,B0C2771TLS/B0C27FG8L9/B0CGZS5129,"271,987","5,513 ",342 ,6.21%,"163,688 ","2,475 ",8 ,0 ,"184,707 ",0.0 ,12 ,12.4%,5.1%,$1.88,$1.41 - $2.35,B08TQKC6PQ,4.6%,2.6%,B091Q17CGW,4.1%,0.0%,B07GBFT6Z3,3.7%,2.6%,"B089D3Q24T,B07SM61FCT,B0BTBG3SJV,B09ZL8BWDF,B0CJ2C5MX9,B07G142F9Z,B0BGRK5M9R,B09JT15JQF,B0CYM8D2DK,B0953MZ7X4"
christmas gifts for the home,给家里的圣诞礼物,,,自然搜索词,129 ,3 ,B0CDRDK6MR/B0C27FG8L9/B0CGZS5129,"607,833",,,,,,1 ,0 ,"41,766 ",0.0 ,2 ,13.0%,9.1%,$1.75,$1.16 - $2.04,B07X8R8P73,5.1%,0.0%,B0BMW99L2Q,4.4%,4.6%,B07DL7ZV31,3.6%,4.6%,"B07DL7ZV31,B0CG8ZCHNH,B09871P4HB,B0CJQX5MNV,B08FSM58J9,B07GBFT6Z3,B00NA83RYU,B0C7TL9JSB,B095HCF4F2,B0BVYBW65D"
teal bedroom decor,青色卧室装饰,,,自然搜索词,129 ,1 ,B0CGZS5129,"580,588","2,010 ",15 ,0.76%,"48,227 ",934 ,1 ,1 ,"18,839 ",0.1 ,21 ,19.3%,0.0%,$0.37,$0.28 - $0.47,B088432M72,7.0%,0.0%,B09VXMW3RZ,6.1%,0.0%,B0D4TWBM7D,6.1%,0.0%,"B09WR4VBRG,B0C39XN7L3,B09W5PWGN8,B078C7DBMT,B0942C95L1,B09VXMW3RZ,B08785QDTK,B0C2VCFCB2,B07PMF5FYM,B072XG921C"
xmas gifts for her,给她的圣诞礼物,,,自然搜索词,128 ,1 ,B0C27FG8L9,"574,062",,,,,,1 ,0 ,"10,057 ",0.0 ,4 ,17.7%,18.8%,$1.83,$1.37 - $2.28,B091YKMS28,7.5%,4.2%,B0C5LRR1ZY,5.4%,8.3%,B07L5QGF38,4.8%,6.3%,"B0CFXFBG4L,B07H3NN3LC,B08P7MNXKY,B08PC67C23,B0CJV5LM3N,B09XKFVPX2,B0BCFGP3WC,B00VK5SG46,B0CM25T3L1,B0C9CQVDR6"
mushroom table lamp,蘑菇台灯,,,自然搜索词/SP广告词,127 ,1 ,B0CGZS5129,"257,076","7,018 ",30 ,0.43%,"208,198 ","3,211 ",1 ,21 ,"1,010 ",7.0 ,82 ,24.2%,0.0%,$1.74,$0.93 - $2.17,B0BV6YJQ6D,9.0%,0.0%,B0D1FSNSHD,8.2%,0.0%,B09VQS13YP,7.0%,0.0%,"B0DNS3921R,B0DNRZK975,B0DNS43DJH,B0BV6YJQ6D,B0DNRZK973,B0BR367Z32,B0CJ4Q4PZQ,B0DNS3WLNZ,B07ZQBY3KR,B0DNS3ND18"
moms christmas gifts,妈妈们的圣诞礼物,,,自然搜索词,127 ,2 ,B0CDRDK6MR/B0C27FG8L9,"281,705","4,859 ",146 ,3.02%,"123,138 ","2,230 ",4 ,0 ,"126,014 ",0.0 ,64 ,13.7%,5.1%,$4.26,$3.20 - $5.34,B07GBFT6Z3,6.4%,3.4%,B091Q17CGW,3.9%,0.0%,B0DDBPS3SJ,3.4%,1.7%,"B0CYM8D2DK,B07G142F9Z,B0CH8LYF42,B07P8395DZ,B07N4FB7FP,B0CKXMY8X6,B0CQCCB95G,B0D22HLXWG,B0BX5V62ZY,B0D3LM83KH"
amazon official site,亚马逊官方网站,,,SP广告词,127 ,1 ,B0C2771TLS,"57,338","45,822 ","6,635 ",14.48%,"1,252,541 ","22,832 ",151 ,2 ,488 ,93.9 ,529 ,31.2%,25.0%,$1.76,$1.33 - $2.21,B0C6GTHRL2,15.2%,0.0%,B0D2R8Z8MJ,8.3%,0.0%,B0BQW51FF4,7.7%,25.0%,"B00006IFHD,B0CHMYP5N9,B0C6GTHRL2,B0C9TDL67H,B0CMPB9YP4,B0CCTS3W4H,B0007YXTOS,B0DKSB6XMD,B0D8V19FJH,B0CKVWWGHJ"
farmhouse office decor,农舍办公室装修,,,自然搜索词,126 ,1 ,B0CDRDK6MR,"762,745","1,522 ",4 ,0.31%,"30,622 ",617 ,1 ,2 ,"89,579 ",0.0 ,104 ,22.1%,33.3%,$0.40,$0.31 - $0.46,B08L5MKXJY,8.1%,0.0%,B0BGSG7C5P,8.1%,0.0%,B075S7GN77,5.8%,33.3%,"B07VKJKFN2,B0C6TQLCYK,B08L5MKXJY,B099596F3B,B075S7GN77,B09QPQSD8N,B07BS2CRTZ,B07DQCJ84X,B08R6VDV6L,B0B12TCPQX"
electric candle,电蜡烛,,,自然搜索词/HR推荐词/品牌广告词/SP广告词,125 ,2 ,B0CZ9F35PT/B0CDRDK6MR,"155,216","11,843 ","1,086 ",9.17%,"258,883 ","4,904 ",25 ,16 ,"2,038 ",5.8 ,212 ,18.1%,19.4%,$0.85,$0.63 - $1.05,B0CGX7DKHL,7.2%,6.9%,B01EDKGFGU,5.5%,8.3%,B0C6LH3WKR,5.5%,4.2%,"B06XCTP65H,B0CGX7DKHL,B07DN39C5J,B01EDKGFGU,B0C6LH3WKR,B0BYZ2JHYW,B0BM3YMD8T,B0CRZ1D6K5,B0BYMJQFV4,B08SM1N4NB"
40 gifts for gift exchange,,,,自然搜索词/SP广告词,123 ,1 ,B0CDRDK6MR,"643,664",,,,,,,,0 ,,4 ,,,,-,B09VTJRGBJ,9.2%,0.0%,B0C13L9BSK,6.9%,0.0%,B09XB3CMC6,5.4%,7.7%,
rechargeable lamp,充电灯,,,SP广告词,123 ,1 ,B0CGZS5129,"24,729","143,029 ","1,687 ",1.18%,"3,827,521 ","69,264 ",39 ,6 ,"21,573 ",6.6 ,178 ,12.3%,6.4%,$1.61,$1.38 - $2.00,B0CST11D1Z,5.4%,2.8%,B096RRW4GC,3.7%,2.8%,B0CFLP9T77,3.3%,0.8%,"B07WNRN9WQ,B0BMQT1PLL,B0D5Y887YP,B0D7CN36HC,B09NCGLVR8,B09VXK6QJ6,B0B8GVVR1B,B0DP3BPKCF,B0DP37J88C,B0CST11D1Z"
last minute gift ideas,最后一分钟的礼物创意,,,自然搜索词,122 ,1 ,B0CDRDK6MR,"445,688",,,,,,1 ,0 ,"35,514 ",0.0 ,9 ,11.5%,4.2%,$1.39,$1.04 - $1.75,B08GC1G4Y9,4.7%,4.2%,B0CKV9Q88Q,4.1%,0.0%,B019HR91W4,2.7%,0.0%,"B0B5MJ2KZK,B07FVDH2H7,B00UBD808K,B01E4LWBLQ,B01F5LW3F8,B07VKSNQ1C,B08ZHWSDB8,B06Y5R6W48,B091YRBNL6,B016B97REU"
marble candle holder,大理石烛台,,,自然搜索词,121 ,3 ,B0C2771TLS/B0CTJGJL2T/B0CDRDK6MR,"383,759","3,445 ",117 ,3.40%,"103,011 ","1,493 ",3 ,11 ,854 ,4.0 ,52 ,28.5%,22.2%,$0.72,$0.63 - $0.89,B0B9264LXJ,16.3%,11.1%,B09TLHTZ63,7.0%,0.0%,B0BV3XG98G,5.2%,11.1%,"B0B9264LXJ,B0BV3XG98G,B09T35QPXS,B094QCMTJJ,B0CC3XJF87,B09T2PMNTJ,B09TLHTZ63,B0CY2MFVQS,B0BZYHCFRJ,B09BZ6BWFK"
birthday candle for women,妇女的生日蜡烛,,,自然搜索词/SP广告词,121 ,1 ,B0CDRDK6MR,"752,366","6,009 ",257 ,4.28%,"126,633 ","2,501 ",6 ,4 ,"14,506 ",0.4 ,71 ,29.9%,28.0%,$1.39,$1.04 - $1.75,B0B353N2XZ,12.6%,12.0%,B0CJR8949L,10.3%,12.0%,B09YGM79ZD,6.9%,4.0%,"B0BQ2TZ1NV,B0CJR8949L,B09Z2HH4HF,B09YGM79ZD,B0DBQCMG7S,B098W3X6HQ,B01CV2S7BI,B07GH691SQ,B0B49SR3KP,B0B353N2XZ"
things,事物,,,SP广告词,120 ,1 ,B0C2771TLS,"63,393","27,823 ",16 ,0.06%,"768,538 ","11,146 ",1 ,16 ,"283,696 ",0.1 ,48 ,26.8%,45.0%,$1.09,$0.81 - $1.36,B0D3CSPMZG,11.0%,10.0%,B00CMUEYOE,9.8%,35.0%,B0C13TJGR5,6.0%,0.0%,"B00CMUEYOE,B0C13TJGR5,B0D4DJ6BRR,B09MLP27XH,B0CQ2746WY,B09MFJ68TT,B0C88V7MJG,B0B5R95SDC,B0C96LSL58,B09X9DPDBQ"
50 gifts for women,50 件女士礼物,,,自然搜索词,119 ,1 ,B0CDRDK6MR,"815,536","1,241 ",135 ,10.93%,"26,054 ",578 ,4 ,0 ,"101,573 ",0.0 ,30 ,18.8%,25.0%,$1.50,$1.12 - $1.88,B0CRMZ9PFR,8.8%,8.3%,B07SM61FCT,6.3%,0.0%,B09F99H5LG,3.8%,16.7%,"B0BR71J63N,B07HHK3J2R,B09F99H5LG,B0D24YHB85,B0CJB63RXK,B08SW8GBSD,B07GBCF3SB,B0CBK6211L,B0CFVHPRKT,B0BBWGCJ46"
classy white elephant gifts,优雅的白象礼物,,,自然搜索词,117 ,2 ,B0CDRDK6MR/B0CGZS5129,"649,616",,,,,,1 ,0 ,"3,267 ",0.0 ,2 ,10.9%,12.5%,$1.04,$0.68 - $1.44,B08XYZMR39,3.9%,0.0%,B0CBFMLPPB,3.9%,0.0%,B01DTFF0Y8,3.1%,12.5%,"B07D1KW3PB,B0BG26KKTJ,B08FTKRQMM,B076DJY2G1,B08CXPJ5QL,B076J8R7YK,B0BFQN5HXZ,B09M2Y25NB,B07WJXH6YF,B077LY81GZ"
scented wax melts,香蜡融化,,,SP广告词,116 ,1 ,B0CXJ9338V,"64,717","26,734 ",914 ,3.42%,"761,408 ","12,030 ",21 ,29 ,"12,075 ",2.2 ,233 ,22.6%,15.6%,$0.87,$0.64 - $1.09,B07XBJT1RP,9.2%,7.8%,B08XJQ3KF1,7.4%,4.1%,B01MSA3PCB,6.0%,3.7%,"B0CYLMZYD6,B091FYV8QY,B08XK44Z96,B0DCCGMGGZ,B09YCVYCQ2,B0DFGV6W11,B09BVR2Q9N,B0C61QY253,B0BYJHR6LD,B07TGBX8RW"
cordless lamps rechargeable,无绳灯可充电,,,SP广告词,115 ,1 ,B0CGZS5129,"66,480","21,313 ",338 ,1.59%,"477,793 ","9,035 ",8 ,1 ,"2,383 ",8.9 ,102 ,14.8%,7.6%,$2.20,$1.67 - $2.89,B0D5Y72BBT,5.9%,3.8%,B0DGPFCVKQ,4.9%,3.1%,B0CST11D1Z,4.1%,0.8%,"B0C4LJCWDM,B09Z7YWHRY,B0CHHJG2YZ,B0D5Y887YP,B0D7CN36HC,B0D5Y72BBT,B09VXK6QJ6,B0BR3R7GHN,B0CST11D1Z,B08V8XVK5Y"
mid century gifts,世纪中叶的礼物,,,自然搜索词,114 ,1 ,B0CDRDK6MR,"821,834",140 ,4 ,2.96%,"3,648 ",69 ,1 ,0 ,"10,052 ",0.0 ,1 ,24.5%,15.0%,$1.22,$0.92 - $1.52,B08NDRXZNK,9.8%,5.0%,B0CLZL9L9N,8.8%,10.0%,B091N8N58T,5.9%,0.0%,"B0CLZL9L9N,B091N8N58T,B09NF4WJGS,B003ZYX6RM,B0CMQP6FYW,B0B9JGQQKL,0762462345,B08NDRXZNK,B00J3Z0XSC,B00IR7BWAA"
stone lamp,石灯,,,自然搜索词,114 ,1 ,B0CDRDK6MR,"344,182","3,407 ",8 ,0.26%,"87,137 ","1,326 ",1 ,6 ,707 ,4.8 ,12 ,29.2%,0.0%,$0.91,$0.70 - $1.07,B0BXFS3HW9,16.7%,0.0%,B08LNWYFH1,6.3%,0.0%,B0BYM2GTF9,6.3%,0.0%,"B0BXFS3HW9,B0BYM2GTF9,B08LNWYFH1,B079743PRF,B0C7JG4BC3,B0CTNXK2JT,B0C4SZBN64,B002LZUE76,B0BBQKQ624,B08847PH2W"
apartment must haves,公寓必备,,,SP广告词,114 ,1 ,B0C27FG8L9,"27,469","32,755 ",88 ,0.27%,"966,731 ","12,675 ",3 ,3 ,"8,404 ",3.9 ,157 ,20.1%,8.1%,$0.62,$0.46 - $0.77,B08SG2MS3V,12.9%,0.0%,B09BKHHL5H,3.7%,4.8%,B0C3H9MJQV,3.6%,3.2%,"B0C14JSYCH,B0BKKTFWJK,B09MFDXZHJ,B08S6M3NXV,B09W4ZWCMP,B001GXPZEQ,B0B6BQ3BSK,B0B7RRGJCM,B07XGKZ2RC,B00HSC9F2C"
girl room decor,女孩房间装饰,,,自然搜索词/SP广告词,114 ,1 ,B0CGZS5129,"53,109","29,923 ",185 ,0.62%,"810,869 ","12,632 ",5 ,2 ,"110,323 ",0.3 ,164 ,16.6%,8.0%,$0.56,$0.43 - $0.70,B0C9SMX2VP,7.3%,2.7%,B077GWL4T2,4.9%,4.0%,B0BZP6PZWL,4.4%,1.3%,"B07CWT7YYL,B0B63GRXMW,B0C9SMX2VP,B09BP35P1Y,B0D1YCV8WS,B09NBQLJ7S,B0D4DJ6BRR,B07BNVYVM2,B0BJ1D3ZGZ,B0855FXYR1"
kitchen christmas decor,厨房圣诞装饰,,,自然搜索词,113 ,2 ,B0CGZS5129/B0CDRDK6MR,"422,731","76,669 ",207 ,0.27%,"1,633,143 ","34,278 ",5 ,4 ,"130,673 ",0.6 ,141 ,12.8%,0.0%,$0.69,$0.51 - $0.87,B0DK72T8V9,5.1%,0.0%,B0DF7W7Y89,4.5%,0.0%,B08563JCG2,3.2%,0.0%,"B0BCQRGPV3,B07KPMPNHF,B0CJV1C8RH,B0CCDDDK3H,B07GNG2T7Y,B09BN1J1T2,B07FYCQ1WD,B0B7Q7YDPG,B09H5H3SNW,B0CB3YW2RP"
heat lamps,发热灯,,,自然搜索词/SP广告词,113 ,3 ,B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR,"315,545","8,954 ",235 ,2.63%,"204,338 ","4,311 ",6 ,5 ,"47,413 ",0.2 ,81 ,17.2%,14.0%,$1.50,$1.21 - $1.66,B000HHQ94C,6.7%,4.7%,B0C6KRQ7RH,5.3%,7.0%,B00U1LDXBG,5.3%,2.3%,"B06XD1PK37,B0C6KRQ7RH,B0C9LGRR3S,B096JWWQMC,B0DCFM1W72,B0DHH76JGV,B001BM5YZW,B0BGN1VDVG,B09YNK2XTZ,B0C8T9R528"
pretty lights,漂亮的灯光,,,自然搜索词,112 ,1 ,B0CGZS5129,"766,022","2,234 ",79 ,3.57%,"57,638 ","1,098 ",2 ,0 ,"16,873 ",0.1 ,96 ,67.5%,0.0%,$0.62,$0.43 - $0.69,B002VEAJJK,53.5%,0.0%,B00377VHQ4,10.5%,0.0%,B0CQSJRPXF,3.5%,0.0%,"B0CQSJRPXF,B074N4XPYZ,B0CG97M36Z,B09DPF5WVV,B0BRN3SF9V,B0C4262S28,B0CQQXVTXT,B09G6LZPGJ,B01M1VERBF,B0D4DJ6BRR"
